iter	Passed	Remaining
0	53	53132
1	54	27129
2	55	18479
3	56	14088
4	57	11466
5	58	9714
6	61	8670
7	63	7866
8	64	7153
9	66	6567
10	67	6079
11	69	5753
12	71	5404
13	72	5083
14	76	5019
15	78	4809
16	79	4592
17	80	4400
18	81	4217
19	82	4052
20	83	3900
21	84	3761
22	89	3806
23	94	3831
24	95	3724
25	96	3619
26	97	3519
27	98	3428
28	101	3382
29	102	3307
30	103	3237
31	105	3187
32	109	3199
33	111	3173
34	113	3131
35	115	3085
36	116	3034
37	117	2986
38	119	2936
39	121	2908
40	122	2860
41	123	2816
42	126	2813
43	136	2959
44	137	2919
45	138	2879
46	140	2850
47	142	2826
48	145	2823
49	147	2803
50	149	2772
51	150	2745
52	152	2726
53	154	2701
54	164	2822
55	166	2801
56	167	2777
57	169	2746
58	170	2716
59	177	2782
60	179	2762
61	180	2735
62	182	2709
63	183	2679
64	184	2651
65	185	2623
66	186	2595
67	191	2618
68	193	2606
69	194	2584
70	196	2565
71	196	2538
72	197	2511
73	198	2485
74	199	2459
75	200	2434
76	201	2410
77	205	2431
78	206	2409
79	207	2386
80	209	2373
81	210	2353
82	210	2327
83	211	2308
84	212	2289
85	214	2276
86	216	2267
87	219	2279
88	221	2265
89	222	2252
90	223	2236
91	226	2236
92	227	2219
93	229	2208
94	234	2237
95	236	2229
96	238	2217
97	239	2202
98	240	2185
99	241	2170
100	242	2155
101	243	2144
102	267	2333
103	269	2319
104	270	2304
105	271	2290
106	272	2275
107	274	2269
108	275	2255
109	277	2241
110	278	2231
111	280	2222
112	281	2209
113	282	2196
114	283	2183
115	285	2173
116	286	2158
117	287	2151
118	289	2139
119	290	2127
120	291	2116
121	318	2288
122	319	2277
123	320	2264
124	321	2252
125	322	2240
126	323	2226
127	325	2216
128	326	2204
129	327	2192
130	328	2180
131	329	2168
132	330	2156
133	331	2145
134	333	2135
135	334	2124
136	335	2113
137	336	2102
138	337	2092
139	338	2081
140	339	2071
141	340	2058
142	341	2049
143	343	2039
144	344	2029
145	346	2024
146	347	2017
147	348	2008
148	359	2052
149	360	2043
150	361	2034
151	363	2026
152	364	2018
153	365	2008
154	366	1999
155	367	1989
156	369	1981
157	386	2061
158	388	2052
159	389	2043
160	389	2031
161	393	2034
162	394	2025
163	395	2016
164	400	2026
165	401	2017
166	402	2008
167	404	2003
168	407	2005
169	409	1998
170	410	1990
171	411	1981
172	412	1973
173	413	1964
174	414	1955
175	415	1946
176	416	1936
177	417	1927
178	422	1938
179	424	1931
180	425	1923
181	426	1914
182	427	1906
183	427	1897
184	428	1888
185	429	1880
186	430	1871
187	431	1863
188	432	1855
189	433	1847
190	439	1860
191	440	1853
192	442	1851
193	443	1843
194	444	1836
195	445	1829
196	446	1821
197	447	1813
198	448	1806
199	453	1814
200	455	1812
201	457	1806
202	458	1799
203	459	1792
204	460	1784
205	461	1777
206	461	1769
207	462	1762
208	463	1755
209	466	1756
210	470	1760
211	471	1754
212	473	1747
213	473	1740
214	474	1733
215	475	1726
216	476	1719
217	477	1713
218	486	1736
219	488	1730
220	489	1724
221	490	1719
222	492	1714
223	493	1709
224	494	1703
225	495	1697
226	502	1712
227	503	1706
228	505	1701
229	506	1697
230	508	1693
231	509	1688
232	510	1682
233	515	1686
234	517	1684
235	518	1678
236	519	1671
237	520	1666
238	521	1659
239	523	1658
240	525	1653
241	526	1648
242	529	1648
243	530	1643
244	532	1640
245	533	1634
246	534	1628
247	535	1623
248	536	1618
249	537	1613
250	539	1608
251	540	1602
252	541	1598
253	545	1601
254	546	1597
255	547	1592
256	548	1587
257	549	1581
258	551	1576
259	554	1576
260	563	1594
261	564	1589
262	565	1584
263	566	1579
264	567	1574
265	568	1569
266	569	1563
267	570	1558
268	571	1552
269	572	1547
270	578	1555
271	579	1550
272	580	1545
273	581	1541
274	582	1536
275	584	1532
